"도시별","품목성질별",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대전광역시","개인서비스",75.439,78.907,80.949,82.709,86.217,86.576,87.760,88.718,90.471,92.560,94.459,97.199,98.772,100.00,102.41,107.85,113.10,116.40
"울산광역시","총지수",79.064,83.180,85.113,87.815,91.313,93.272,94.688,95.812,96.251,97.205,99.006,100.026,99.705,100.00,102.49,107.57,111.43,113.97
"울산광역시","상품",77.150,82.224,84.256,88.396,93.435,96.450,97.471,98.587,97.598,97.158,98.895,99.834,99.027,100.00,103.05,109.42,113.43,116.36
"울산광역시","농축수산물",63.399,64.443,67.065,74.423,82.170,85.339,85.159,84.253,85.504,88.619,93.137,95.208,92.953,100.00,109.05,112.81,115.52,122.53
"울산광역시","공업제품",79.318,85.617,87.368,90.266,94.591,97.109,98.005,99.179,98.782,98.504,99.807,100.808,100.170,100.00,102.20,108.65,111.34,113.22
"울산광역시","전기 · 가스 · 수도",-,-,-,105.360,110.469,117.335,122.209,127.225,115.900,104.540,103.374,100.805,101.820,100.00,97.07,109.30,131.65,136.24
"울산광역시","서비스",80.518,83.860,85.727,87.278,89.460,90.514,92.258,93.387,95.040,97.241,99.101,100.197,100.323,100.00,101.92,105.71,109.41,111.62
"울산광역시","집세",89.001,92.003,93.011,93.554,95.433,98.716,101.643,102.972,103.861,104.536,104.564,103.489,101.226,100.00,101.66,104.20,105.12,105.33
"울산광역시","공공서비스",93.674,96.084,97.970,99.464,99.033,98.969,99.465,100.066,100.902,102.219,103.060,103.233,102.539,100.00,100.73,101.73,103.46,104.44
"울산광역시","개인서비스",74.385,78.141,80.092,81.812,84.879,85.956,87.947,89.234,91.285,94.053,96.583,98.419,99.287,100.00,102.43,107.52,112.42,115.41
"세종특별자치시","총지수",-,-,-,-,-,-,-,-,95.626,96.311,98.205,99.232,99.566,100.00,102.71,108.23,111.46,114.10
"세종특별자치시","상품",-,-,-,-,-,-,-,-,97.243,96.527,98.743,99.955,99.544,100.00,102.58,109.11,113.18,116.23
"세종특별자치시","농축수산물",-,-,-,-,-,-,-,-,86.015,89.095,94.490,96.475,95.426,100.00,106.92,111.74,115.40,122.29
"세종특별자치시","공업제품",-,-,-,-,-,-,-,-,98.188,97.667,99.452,100.905,100.399,100.00,102.12,108.51,111.00,113.04
"세종특별자치시","전기 · 가스 · 수도",-,-,-,-,-,-,-,-,113.229,102.449,101.366,98.781,100.586,100.00,97.98,110.01,132.06,137.91
"세종특별자치시","서비스",-,-,-,-,-,-,-,-,94.234,96.114,97.737,98.602,99.586,100.00,102.84,107.38,109.94,112.24
"세종특별자치시","집세",-,-,-,-,-,-,-,-,99.216,99.756,100.858,99.992,98.975,100.00,105.76,111.58,111.72,110.90
"세종특별자치시","공공서비스",-,-,-,-,-,-,-,-,99.243,100.080,101.247,101.771,101.528,100.00,102.08,104.25,105.26,107.49
"세종특별자치시","개인서비스",-,-,-,-,-,-,-,-,90.602,93.282,95.234,96.756,98.873,100.00,102.20,107.23,111.05,114.30
"경기도","총지수",78.004,81.767,84.138,86.546,89.871,91.769,92.890,94.038,94.734,95.624,97.545,98.994,99.396,100.00,102.57,107.72,111.55,114.13
"경기도","상품",76.817,81.531,84.296,88.341,93.266,95.940,96.964,97.823,97.047,96.355,98.229,99.470,99.147,100.00,103.25,109.99,114.30,116.97
"경기도","농축수산물",64.970,65.034,69.192,76.685,84.007,85.520,85.465,82.766,84.023,86.939,92.013,94.954,93.649,100.00,109.58,113.73,116.40,122.48
"경기도","공업제품",78.383,84.499,86.724,89.493,93.849,96.444,97.197,98.487,98.185,97.734,99.179,100.497,100.216,100.00,102.29,109.13,111.98,113.70
"경기도","전기 · 가스 · 수도",-,-,-,103.968,108.550,114.137,119.364,123.707,115.369,104.566,102.986,99.988,101.397,100.00,98.17,109.77,131.59,136.85
"경기도","서비스",78.537,81.699,83.798,85.156,87.327,88.692,89.887,91.234,92.991,95.068,97.020,98.628,99.594,100.00,102.02,105.90,109.36,111.88
"경기도","집세",76.530,78.508,79.860,80.957,84.290,88.109,90.288,92.519,95.367,97.381,99.355,100.156,100.028,100.00,101.57,104.12,104.57,104.76
"경기도","공공서비스",89.981,92.785,94.839,96.233,95.367,96.184,96.601,97.072,98.684,100.515,101.390,101.493,101.315,100.00,100.95,101.78,102.86,104.33
"경기도","개인서비스",74.866,78.489,80.816,82.210,85.094,85.882,87.069,88.466,89.937,92.133,94.523,96.992,98.758,100.00,102.61,108.19,113.51,117.19
"수원시","총지수",77.282,81.179,83.850,86.411,89.839,91.892,93.035,94.199,95.040,95.696,97.506,98.995,99.336,100.00,102.59,107.93,111.80,114.15
"수원시","상품",77.368,82.258,85.261,89.215,94.085,96.725,97.593,98.228,97.434,96.475,98.323,99.641,99.294,100.00,103.33,110.13,114.28,116.93
"수원시","농축수산물",69.173,69.952,74.796,82.215,89.505,90.458,89.851,85.754,86.317,87.889,92.819,95.570,94.472,100.00,109.90,114.12,115.88,121.74
"수원시","공업제품",78.076,84.125,86.462,89.247,93.591,96.269,96.940,98.202,98.080,97.584,99.071,100.565,100.233,100.00,102.36,109.27,112.10,113.85
"수원시","전기 · 가스 · 수도",-,-,-,104.358,108.800,114.462,119.533,123.881,115.441,104.996,103.228,100.043,101.111,100.00,97.76,109.41,131.06,136.21
"수원시","서비스",76.942,80.215,82.661,84.316,86.726,88.348,89.690,91.233,93.234,95.097,96.881,98.497,99.368,100.00,101.99,106.17,109.82,111.94
"수원시","집세",75.900,78.304,77.989,78.851,83.050,86.633,88.556,91.070,94.402,96.800,98.189,99.522,99.550,100.00,101.73,104.47,105.15,105.34
"수원시","공공서비스",89.936,92.542,94.561,96.198,95.173,95.761,96.064,96.323,97.919,99.529,100.757,101.128,101.185,100.00,100.79,101.45,102.34,103.58
"수원시","개인서비스",72.506,76.254,79.627,81.534,84.530,85.942,87.488,89.209,90.939,92.741,94.880,97.099,98.563,100.00,102.57,108.67,114.33,117.42
"성남시","총지수",78.296,82.082,84.257,86.320,89.406,91.543,92.672,93.861,94.584,95.388,97.237,98.827,99.403,100.00,102.42,107.32,111.04,113.85
"성남시","상품",76.699,81.298,83.899,88.202,92.664,95.523,96.657,97.584,96.688,95.800,97.742,98.863,98.951,100.00,103.02,109.57,114.18,117.50
"성남시","농축수산물",64.615,64.266,67.354,75.754,81.172,83.758,83.934,81.842,82.328,84.487,89.743,92.931,93.078,100.00,108.90,113.20,117.49,126.09
"성남시","공업제품",78.145,84.217,86.546,89.359,93.552,96.121,96.989,98.242,97.970,97.486,98.978,100.063,99.981,100.00,101.94,108.50,111.28,113.15
"성남시","전기 · 가스 · 수도",-,-,-,106.208,110.852,116.602,121.753,126.140,117.567,106.092,104.272,101.188,102.675,100.00,100.14,111.74,135.39,142.36
"성남시","서비스",79.164,82.421,84.323,84.888,86.968,88.594,89.724,91.096,92.991,95.065,96.846,98.800,99.754,100.00,101.94,105.51,108.56,110.98
"성남시","집세",74.516,75.747,76.853,77.486,81.431,86.157,89.171,92.335,95.466,97.375,99.434,99.896,100.013,100.00,101.36,103.19,103.55,103.37
"성남시","공공서비스",89.258,92.454,94.524,95.927,95.439,96.239,96.751,97.207,98.731,101.157,101.809,101.936,101.729,100.00,101.42,102.27,103.84,105.88
"성남시","개인서비스",76.869,80.736,82.839,83.063,85.451,86.370,87.135,88.286,89.922,91.901,94.055,97.206,98.885,100.00,102.34,107.62,112.09,115.52
"의정부시","총지수",77.063,80.884,83.477,86.493,89.852,91.503,93.172,94.204,94.536,95.578,97.395,98.980,99.456,100.00,102.75,108.29,112.16,115.00
"의정부시","상품",75.558,80.362,83.272,88.112,93.406,95.941,97.566,98.339,97.389,96.669,98.459,99.529,99.204,100.00,103.52,110.81,114.96,117.48
"의정부시","농축수산물",59.280,59.552,64.873,74.477,82.451,83.259,85.842,82.861,84.087,87.626,92.519,94.873,92.741,100.00,110.13,116.58,118.32,124.44
"의정부시","공업제품",78.583,84.854,86.770,89.725,94.302,96.947,97.862,99.064,98.784,98.106,99.383,100.594,100.478,100.00,102.54,109.61,112.50,114.07
"의정부시","전기 · 가스 · 수도",-,-,-,103.680,109.148,114.221,119.439,124.320,113.930,103.511,102.755,99.901,101.530,100.00,97.89,109.43,130.42,135.09
"의정부시","서비스",77.923,81.088,83.450,85.264,87.211,88.231,89.934,91.152,92.399,94.742,96.584,98.563,99.651,100.00,102.13,106.27,109.92,112.99
"의정부시","집세",74.728,77.876,82.384,84.487,86.543,90.699,93.439,95.103,97.206,98.669,99.450,100.345,99.997,100.00,100.99,102.52,102.76,102.77
"의정부시","공공서비스",91.365,93.718,95.492,96.790,95.564,96.300,96.691,97.447,99.051,100.811,101.523,101.548,101.292,100.00,100.86,101.83,102.89,104.66
"의정부시","개인서비스",73.656,77.129,79.162,81.068,84.081,84.284,86.158,87.406,88.270,91.110,93.716,96.812,98.884,100.00,103.04,109.37,115.13,119.70
"안양시","총지수",78.392,81.912,84.091,86.494,89.918,91.833,92.807,93.968,94.566,95.359,97.309,98.617,99.301,100.00,102.54,107.62,112.10,114.53
"안양시","상품",76.778,81.455,83.853,88.027,92.553,95.354,96.211,97.151,96.492,95.886,97.707,98.829,99.034,100.00,102.96,109.69,114.44,116.78
"안양시","농축수산물",66.266,65.491,68.678,76.326,82.134,85.443,84.517,81.996,84.060,87.021,91.497,92.847,93.459,100.00,109.11,113.81,118.55,122.59
"안양시","공업제품",77.946,84.235,86.333,89.243,93.438,95.751,96.508,97.872,97.542,97.257,98.717,100.176,100.139,100.00,102.04,108.75,111.78,113.55
"안양시","전기 · 가스 · 수도",-,-,-,103.190,107.668,113.202,118.203,122.463,114.140,102.907,101.984,99.689,101.144,100.00,97.91,109.51,131.07,135.48
"안양시","서비스",79.272,82.022,84.066,85.317,87.948,89.213,90.270,91.590,93.103,94.952,97.001,98.450,99.508,100.00,102.20,105.95,110.24,112.73
"안양시","집세",77.986,79.589,80.723,81.760,85.514,88.995,90.375,92.496,94.923,96.452,98.828,99.350,99.721,100.00,102.31,105.27,105.81,105.88
